QC,GPU,QC,Impact Environnemental Total (g),max_latency_ns,max_latency_ms
16,2080Ti,16.0,0.008073504678866973,5507944.259259259,5.50794425925926
16,A100,16.0,0.010148812315305763,2758060.506329114,2.758060506329114
16,A40,16.0,0.02312658140790787,4175189.59375,4.17518959375
16,H100,16.0,0.013235040278214982,1494683.0476190476,1.4946830476190476
16,L40S,16.0,0.007935949782051109,1451538.6274509805,1.4515386274509803
16,Orin,16.0,0.0013112952776955275,21235149.589041095,21.235149589041093
16,QRTX8000,16.0,0.007940882532755107,5904792.0,5.904792
16,T4,16.0,0.005748504517506683,13627781.333333334,13.627781333333333
16,Xavier,16.0,0.000768868356102256,39173063.31428572,39.17306331428571
32,2080Ti,32.0,0.008452555747847462,5536209.85,5.5362098500000005
32,A100,32.0,0.0103734180392483,2836556.7666666666,2.836556766666667
32,A40,32.0,0.02360724630045897,4512962.45,4.51296245
32,H100,32.0,0.01329761403757663,1688969.25,1.68896925
32,L40S,32.0,0.008309221984098692,1454062.5333333334,1.4540625333333332
32,Orin,32.0,0.0013525591917048314,20933428.70588235,20.933428705882353
32,QRTX8000,32.0,0.008163280713625374,5940065.65,5.94006565
32,T4,32.0,0.006012152044554543,13680599.2,13.6805992
32,Xavier,32.0,0.0008621201707512816,36839826.6097561,36.839826609756095
64,2080Ti,64.0,0.008938299696052239,6118643.15,6.11864315
64,A100,64.0,0.010830763003420587,2920953.316666667,2.920953316666667
64,A40,64.0,0.0244193273390155,4529573.3,4.5295733
64,H100,64.0,0.013962626840346867,1690048.55,1.6900485499999998
64,L40S,64.0,0.008652946850908267,1560025.2,1.5600252
64,Orin,64.0,0.001461522133585015,21411629.837837838,21.41162983783784
64,QRTX8000,64.0,0.008610709383580611,6311085.6,6.3110856
64,T4,64.0,0.0064372618247984905,13669339.9,13.6693399
64,Xavier,64.0,0.0011645930728286917,36774404.125,36.774404125
128,2080Ti,128.0,0.01033008635409788,6151252.45,6.151252449999999
128,A100,128.0,0.011647273820916838,2912539.9,2.9125398999999996
128,A40,128.0,0.025518830246386365,4442181.7,4.4421817
128,H100,128.0,0.014249120954431326,1791593.35,1.79159335
128,L40S,128.0,0.009083650262014693,1556886.1333333333,1.5568861333333333
128,Orin,128.0,0.0016779832985689663,22694927.05882353,22.69492705882353
128,QRTX8000,128.0,0.009865249609933017,6216998.5,6.2169985
128,T4,128.0,0.007187388481804348,13655298.55,13.655298550000001
128,Xavier,128.0,0.0017674027060544275,39334191.21875,39.33419121875
256,2080Ti,256.0,0.01313953128378669,6191024.15,6.19102415
256,A100,256.0,0.013123826353826728,2890906.306451613,2.8909063064516127
256,A40,256.0,0.0295287703749817,4444876.25,4.44487625
256,H100,256.0,0.015288041410057445,1889885.45,1.88988545
256,L40S,256.0,0.009757357671065876,1559261.3,1.5592613
256,Orin,256.0,0.0022170416686268504,21317584.76190476,21.31758476190476
256,QRTX8000,256.0,0.01215356449660494,6336855.0,6.336855
256,T4,256.0,0.008798124546282175,13630583.5,13.6305835
256,Xavier,256.0,0.0028723292196505216,43501139.52542373,43.501139525423724
